2000 9459
1 1354 -3595
1354 1505 -7766
1505 1272 -9128
1272 516 6013
516 1215 -1064
1215 102 1461
102 5 -6017
5 379 4400
379 1825 -9054
1825 934 3085
934 1510 -7331
1510 1842 7240
1842 1091 -7261
1091 1858 -5331
1858 588 -8210
588 758 -6944
758 1616 -5256
1616 1601 7155
1601 290 -4086
290 3 -9344
3 1146 -6149
1146 265 1410
265 1386 5466
1386 128 5631
128 948 1847
948 200 3845
200 225 1641
225 139 550
139 987 3392
987 1667 -1931
1667 1631 -1058
1631 1324 -3850
1324 111 -5600
111 1096 -4259
1096 1984 7338
1984 1169 -4051
1169 1274 -5100
1274 249 -4901
249 578 1661
578 1620 -1019
1620 585 -7687
585 1666 -7158
1666 1681 -5731
1681 1671 -291
1671 121 -3103
121 1427 4254
1427 1003 -2054
1003 1941 -3140
1941 324 -9590
324 1249 6192
1249 1921 -1093
1921 449 -3437
449 185 -2607
185 1605 7995
1605 721 -1219
721 441 2626
441 183 -318
183 1102 -8634
1102 897 8446
897 1212 -5762
1212 1876 180
1876 1273 -3389
1273 189 -9995
189 749 6066
749 190 2003
190 48 -4170
48 1382 -6812
1382 1943 -4765
1943 571 1373
571 1710 -1414
1710 1653 -3888
1653 605 -3400
605 1139 2962
1139 443 -4287
443 843 -9743
843 938 -1542
938 1373 -6555
1373 937 -3013
937 1634 9413
1634 351 2169
351 435 -6920
435 1607 729
1607 1184 329
1184 1934 -5905
1934 1754 -2361
1754 952 -3054
952 763 -1813
763 967 -7575
967 769 -3932
769 737 -859
737 1532 -3846
1532 1737 -6558
1737 551 -413
551 1962 -832
1962 663 7871
663 677 722
677 465 -7306
465 812 7040
812 1147 9168
1147 1363 -4632
1363 1138 2684
1138 1412 -9478
1412 1294 801
1294 1920 6131
1920 1779 8309
1779 1820 -7430
1820 1040 -6562
1040 857 -8440
857 1470 4665
1470 1399 -3638
1399 697 -3336
697 79 -5313
79 976 -4470
976 278 630
278 52 6012
52 637 -9442
637 652 -6361
652 1165 -7923
1165 550 426
550 1332 -4870
1332 462 -6205
462 649 1450
649 966 739
966 481 123
481 1338 -1611
1338 1054 -3629
1054 1946 -92
1946 305 672
305 607 5777
607 619 7330
619 1125 -4877
1125 83 -6077
83 922 -5705
922 798 -7293
798 1006 216
1006 1656 -4930
1656 264 -4246
264 1738 -5059
1738 693 8494
693 1753 398
1753 1265 -5404
1265 417 -5388
417 57 -3270
57 1157 2582
1157 1871 6984
1871 1909 -6354
1909 1122 891
1122 1085 1031
1085 1356 -2728
1356 1884 -1291
1884 1803 -2270
1803 1997 -8833
1997 374 4872
374 932 3228
932 1431 1124
1431 1299 9552
1299 176 -1037
176 968 9286
968 896 7277
896 1998 -3837
1998 1493 5932
1493 1080 -5757
1080 1264 1080
1264 1218 -5444
1218 717 4503
717 1522 1212
1522 1243 7100
1243 1574 608
1574 18 9146
18 1989 -6063
1989 1917 -2487
1917 735 -5868
735 1765 -1586
1765 543 -63
543 1576 -5100
1576 292 -1817
292 1887 -1350
1887 1282 -7350
1282 1520 -5457
1520 1951 -557
1951 533 482
533 1640 3666
1640 819 -9412
819 1860 -5504
1860 91 -2245
91 1248 7301
1248 1255 2563
1255 1316 -2454
1316 1725 -9021
1725 1250 6015
1250 846 -606
846 1323 -5628
1323 868 -7409
868 1836 -4020
1836 16 1701
16 694 8700
694 319 -5563
319 73 8078
73 391 -4778
391 1644 -3135
1644 1178 -5685
1178 530 -6976
530 1259 -10
1259 672 8002
672 205 -8641
205 564 2041
564 975 -8051
975 992 -2023
992 1879 -7352
1879 1839 2866
1839 1612 6719
1612 1033 265
1033 716 -6419
716 1070 9739
1070 1636 6048
1636 1732 -7837
1732 196 -2651
196 1956 -3925
1956 1306 489
1306 1815 -1233
1815 117 -4754
117 159 -9369
159 1752 -6070
1752 306 -599
306 1872 1634
1872 99 -5211
99 1521 -3710
1521 1967 8330
1967 1555 -9177
1555 1349 -383
1349 24 -626
24 7 -5111
7 1437 774
1437 276 -6448
276 1500 62
1500 1823 -2207
1823 1781 1503
1781 173 4899
173 182 750
182 2 -6315
2 715 -8614
715 478 7406
478 720 1812
720 1468 -7023
1468 971 -287
971 1716 1226
1716 704 -587
704 544 6450
544 1353 -3924
1353 415 -2921
415 1728 509
1728 1219 -9879
1219 294 -131
294 1408 1478
1408 486 654
486 385 -484
385 661 5390
661 1485 1878
1485 1343 7096
1343 1065 -8498
1065 1684 7687
1684 686 -9123
686 1769 -4629
1769 1078 8193
1078 1214 -7212
1214 122 -5238
122 1433 -6263
1433 1403 -7400
1403 113 9750
113 1381 -4311
1381 1638 -3105
1638 1086 1185
1086 424 2649
424 1235 1734
1235 1674 1621
1674 1619 -8557
1619 1907 -3450
1907 1057 -1611
1057 421 -220
421 1713 -3435
1713 20 -8262
20 756 2961
756 1417 103
1417 1557 128
1557 1043 -8681
1043 1288 100
1288 209 -6250
209 1720 -1787
1720 1699 -9063
1699 915 -3033
915 450 2703
450 236 -3183
236 689 -2581
689 426 -7126
426 453 53
453 1454 8912
1454 1310 5531
