347 2557
1 31 -3099
31 272 1539
272 243 -8084
243 117 -7403
117 146 6360
146 301 9224
301 302 3075
302 273 -896
273 253 -7316
253 127 -3314
127 219 -248
219 285 4462
285 293 -48
293 128 -6247
128 338 -5026
338 110 -5405
110 67 -2265
67 39 -269
39 290 2359
290 72 -8675
72 210 -1688
210 46 -5054
46 151 6613
151 172 -2715
172 177 8392
177 145 8887
145 167 5552
167 73 -3452
73 37 -9348
37 209 4329
209 281 5464
281 324 -6119
324 287 -3719
287 121 -8543
121 200 8124
200 239 1640
239 83 2623
83 280 -2634
280 105 -2742
105 96 -1068
96 65 1270
65 337 3260
337 250 7415
250 240 -3664
240 264 -4105
264 92 -9127
92 84 7329
84 186 6515
186 66 -626
66 192 1080
192 278 275
278 182 -9366
182 185 8223
185 21 -2270
21 70 -8183
70 93 915
93 286 2215
286 202 6441
202 196 -4875
196 107 -3545
107 109 -4317
109 35 -1978
35 112 -5567
112 77 -3498
77 124 -5193
124 4 6246
4 98 8342
98 138 634
138 276 2632
276 42 1953
42 33 -1380
33 75 -3387
75 295 8746
295 316 -9716
316 300 -2717
300 122 -5220
122 106 -4030
106 2 -1905
2 32 -5790
32 298 -7319
298 5 963
5 23 -5480
23 168 1022
168 234 7531
234 14 -7781
14 155 -4431
155 283 -9459
283 58 -5295
58 232 5715
232 188 -7664
188 71 -1830
71 213 -6777
213 231 -14
231 87 -6738
87 340 7916
340 166 5807
166 201 -9084
201 306 -5061
306 140 -8029
140 284 5107
284 291 6298
291 51 -4720
51 318 5699
318 308 -2502
308 254 5553
254 266 3556
266 265 9076
265 212 8826
212 24 -2121
24 229 3267
229 104 -8664
104 25 6893
25 220 -5173
220 263 1883
263 321 -8865
321 18 -5561
18 194 -475
194 235 -5479
235 26 9416
26 208 3559
208 57 -2090
57 47 1556
47 227 5161
227 244 -9140
244 161 -7503
161 103 4200
103 322 -4960
322 267 -8470
267 297 7433
297 169 -6137
169 120 -5621
120 157 -8388
157 270 -7843
270 199 -1142
199 198 -5083
198 126 -1188
126 257 8210
257 214 7246
214 69 -3214
69 125 -2543
125 74 1792
74 78 -2083
78 86 -451
86 22 2057
22 97 -9552
97 252 -471
252 50 351
50 164 -729
164 271 3524
271 311 4321
311 332 9123
332 79 9790
79 13 55
13 41 1917
41 132 840
132 7 -5601
7 255 -922
255 233 -260
233 207 8359
207 116 -4721
116 174 -3345
174 130 -9519
130 191 -2027
191 328 -2275
328 148 -6023
148 330 -3815
330 147 2283
147 100 9650
100 144 -6219
144 12 5584
12 215 -2396
215 211 -1014
211 53 -6268
53 218 -9979
218 94 -2425
94 133 -4286
133 193 6777
193 10 -5045
10 82 -90
82 95 -3501
95 204 64
204 228 -8847
228 319 998
319 183 7582
183 341 5022
341 20 -5932
20 136 384
136 339 -2872
339 34 4219
34 149 5235
149 119 7239
119 162 -3929
162 139 2494
139 135 -7677
135 221 2827
221 171 9277
171 68 -8617
68 269 1668
269 55 8925
55 80 2053
80 344 -125
344 309 8404
309 40 -4236
40 60 -20
60 190 -5045
190 305 2307
305 36 -9041
36 8 1123
8 346 1614
346 304 -4281
304 49 2556
49 245 8850
245 292 9153
292 62 -4047
62 312 1497
312 237 1294
237 223 692
223 288 9791
288 178 -1223
178 274 -1106
274 313 407
313 114 2483
114 30 1705
30 206 -2438
206 203 -3364
203 45 -5788
45 159 1587
159 118 -6875
118 247 4767
247 44 -8301
44 163 -6142
163 64 -7299
64 113 -9821
113 52 -1631
52 143 -8536
143 16 2496
16 158 -3586
158 225 8415
225 222 -4099
222 59 -2126
59 19 -6696
19 342 7750
342 123 -2999
123 61 7308
61 261 -5040
261 241 3337
241 260 -573
260 141 -5609
141 153 1024
153 91 2631
91 275 -5798
275 179 -4967
179 277 -8478
277 345 -4731
345 314 1365
314 85 -6417
85 336 -8685
336 134 -5125
134 38 4566
38 296 -2852
296 315 375
315 236 -8114
236 111 1220
111 216 -9855
216 170 1693
170 11 -1793
11 242 873
242 303 686
303 205 -5084
205 230 -3263
230 90 -6279
90 258 -4265
258 54 -6498
54 88 -8496
88 28 -1004
28 131 -3350
131 137 -3116
137 81 7137
81 108 1486
108 323 -1184
323 310 523
310 6 -2732
6 294 -883
294 76 -5325
76 335 -8859
335 317 -8943
317 331 -6286
331 251 2607
251 325 4842
325 129 338
129 43 1884
43 29 -4213
29 17 -311
17 195 9821
195 175 -5271
175 320 -6886
320 217 -6342
217 262 1782
262 299 7199
299 173 -1347
173 176 8038
176 268 -7886
268 3 -1910
3 115 1883
115 226 -5591
226 181 -8658
181 27 7494
27 256 -4556
256 9 182
9 307 -9599
307 279 1184
279 156 7314
156 187 7003
187 259 -8785
259 152 -3592
152 63 7969
63 150 9767
150 189 -704
189 99 -8630
99 238 2209
238 248 -3926
248 160 2224
160 333 -371
333 48 -6566
48 142 2812
142 15 -8760
15 327 8762
327 224 -7793
224 165 -3071
165 101 -9746
101 89 -3151
89 154 7061
154 343 -790
343 282 8600
282 326 7801
326 329 2598
329 249 1535
249 246 -6618
246 184 -9817
184 102 4977
102 197 -1892
197 334 -7375
334 180 8226
180 56 1109
56 289 8826
289 347 2046
1 157 -2162
157 280 2550
280 167 55
167 100 -4453
100 94 -7803
94 132 -1584
132 61 -8569
61 329 -6770
329 202 1349
202 114 2538
114 45 -1715
45 145 -2208
145 308 7333
308 15 909
15 189 -9634
189 27 4256
27 178 -6267
178 58 -5560
58 96 -1349
96 243 -6751
243 101 -5151
101 125 -7625
125 281 6432
281 152 1592
152 237 -9049
237 188 4869
188 211 -482
211 251 -7802
251 287 -5787
287 66 7344
66 26 -1045
26 325 -7464
325 82 4198
82 330 524
330 297 -9448
297 279 -3637
279 163 5503
163 16 2603
16 123 -2429
123 261 8628
261 226 9028
226 344 -9797
344 276 -6546
276 247 -9633
247 31 -3263
31 149 -3088
149 24 8176
24 267 9045
267 158 3654
158 253 -1180
253 255 811
255 21 -2492
21 311 -6398
311 217 -1572
217 242 -2114
242 300 -6150
300 192 723
192 184 -6227
184 68 -4357
68 113 -2735
113 313 9437
313 105 1983
105 201 -9125
201 215 -4430
215 142 -7878
142 121 -80
121 291 -4943
291 59 7571
59 90 -7920
90 338 -6372
338 64 -5700
64 40 642
40 141 -2135
141 36 -2020
36 159 -319
159 260 -5657
260 216 -6881
216 275 3340
275 337 2329
337 264 -1883
264 262 4630
262 179 5553
179 199 -25
199 98 -7422
98 108 8463
108 67 3291
67 83 876
83 304 -5176
304 112 8378
112 160 328
160 221 -2306
221 116 -8694
116 305 -6357
305 162 3210
162 39 -6953
39 5 8874
5 103 -2767
103 246 -1783
246 29 -8982
29 136 -518
136 151 9187
151 70 2379
70 19 -4549
19 69 -190
69 250 603
250 225 -2477
225 85 815
85 301 834
301 37 -1432
37 231 -5112
231 48 2465
48 198 -328
198 89 1950
89 177 -264
177 306 119
306 102 -8668
102 283 9009
283 28 -4643
28 120 -7116
120 213 4106
213 76 -5598
76 92 -7042
92 307 -5872
307 180 9912
180 144 -9607
144 206 -391
206 288 677
288 7 -4983
7 2 -5517
2 41 -4640
41 91 -9365
91 72 7529
72 200 -8514
200 57 289
57 187 -3386
187 220 -3526
220 248 -8989
248 326 -4278
326 285 9918
285 109 534
109 25 -189
25 147 6797
147 3 3824
3 55 8950
55 161 1926
161 74 -9376
74 146 -3869
146 17 -1006
17 258 -5009
258 244 1865
244 277 -8547
277 252 -8278
252 80 -1388
80 205 -2984
205 154 2615
154 49 2725
49 316 -4884
316 228 7541
228 299 -3730
299 222 3607
222 124 1546
124 208 -4549
208 138 9788
138 117 -504
117 133 3817
133 292 -667
292 78 -8249
78 126 -1357
126 269 -3352
269 324 3625
324 289 2039
289 38 332
38 73 985
73 56 2082
56 302 14
302 266 -8378
266 137 -8107
137 341 -2830
341 4 4883
4 339 -1324
339 12 -1966
12 238 -7705
238 245 -273
245 110 -5266
110 229 -9225
229 223 -3523
223 263 -9956
263 219 -2729
219 270 654
270 322 2213
322 256 -6533
256 14 7452
14 135 9883
135 71 -6011
71 185 805
185 196 -4481
196 254 -9875
254 290 -2433
290 334 -6812
334 218 -5867
218 317 563
317 165 1974
165 323 3139
323 303 -6068
303 122 -9135
122 209 2607
209 210 -829
210 139 -6830
139 284 7443
284 272 2485
272 342 -305
342 340 5842
340 286 -7295
286 50 7743
50 333 -4622
333 119 6176
119 274 -13
274 20 -3915
20 86 -7480
86 173 -1033
173 235 -1049
235 60 -623
60 115 5971
115 331 864
331 314 4753
314 278 -5533
278 298 5231
298 13 -842
13 44 -8238
44 282 -6408
282 271 551
271 183 6728
183 30 -7636
30 259 -4325
259 9 6697
9 318 -7074
318 193 8404
193 11 -7524
11 181 7799
181 294 -3264
294 197 -2039
197 84 -623
84 320 -9664
320 155 1076
155 130 -91
130 240 -2918
240 203 -7249
203 268 7814
268 233 -3630
233 77 -6327
77 312 2594
312 88 -7188
88 106 -9570
106 47 2562
47 327 -6915
327 33 -342
33 143 -334
143 43 -8225
43 111 -640
111 129 788
129 53 -6977
53 328 -681
328 8 -937
8 212 -3821
212 171 2682
171 18 -672
18 321 -2896
321 319 -5974
319 273 -8342
273 336 -7054
336 62 -1998
62 265 -1959
265 346 -6145
346 35 -7954
35 204 1324
204 293 -2687
293 32 -3739
32 170 -4737
170 97 -6516
97 99 2921
99 153 -7238
153 174 7840
174 295 2033
295 257 7232
257 131 1852
131 93 1374
93 166 -5821
166 81 8388
81 190 1926
190 310 4960
310 186 -2367
186 234 8674
234 195 -8227
195 241 -5564
241 156 -5989
156 6 9279
6 175 -7898
175 249 -8309
249 148 -6494
148 169 -6473
169 42 8858
42 87 1976
87 75 9180
75 176 -9531
176 296 6556
296 230 -7307
230 65 8093
65 51 5378
51 168 4714
168 172 -7753
172 335 -718
335 309 -3728
309 232 -5901
232 343 3042
343 194 -3713
194 134 4697
134 191 -2615
191 207 5968
207 164 -5780
164 127 340
127 239 1558
239 54 -4466
54 128 -5221
128 182 3433
182 236 -5645
236 227 -9752
227 95 9053
95 23 -3980
23 345 -1161
345 22 -6010
22 10 5958
10 34 -1617
34 140 -7123
140 214 1910
214 315 -898
315 150 -5557
150 224 -4247
224 79 -7859
79 118 825
118 107 1215
107 63 -8836
63 104 -3160
104 52 -2551
52 46 -4155
46 332 806
332 347 -1032
1 48 -3383
48 82 1883
82 31 -1121
31 3 -4615
3 209 -1685
209 341 -4348
341 175 5248
175 110 -5948
110 228 2302
228 128 7184
