1500 10000
597 445 -8189
1107 875 -202
171 660 6334
1405 979 -1331
998 974 -159
1136 1467 9180
112 94 -9126
1201 1486 4046
813 1124 -7241
1386 1382 -582
160 734 9969
423 50 4370
1239 1054 -9261
613 7 6646
1500 809 -4055
1231 1458 -5351
625 188 4207
994 1093 -4313
198 693 -6736
1309 867 -9538
1176 1480 -2409
583 519 3812
651 425 2264
1317 820 -8298
659 683 -6925
761 1059 4475
542 224 2909
1098 1262 6330
1350 1111 -5653
943 896 -8924
544 253 -1453
1125 807 -5880
243 654 -9652
777 890 708
522 386 -348
961 1000 -9583
250 550 -976
852 1341 -2099
235 724 7577
1458 838 9879
405 641 -8927
1145 1005 -1621
793 1358 -1696
208 281 -9769
1066 1399 -6301
981 1363 -7193
854 1390 6196
1254 768 -3984
870 1431 -5642
1230 1131 -9458
1083 942 7742
784 1236 2342
435 253 4511
1263 1281 3382
1103 926 5310
590 132 -1367
63 304 3374
1156 1054 9315
947 1308 -9101
1269 1181 -7619
445 707 1664
892 1474 -3728
261 126 9888
678 401 -7106
1110 790 5355
1062 1367 5875
1261 751 4780
1384 867 -4955
1132 1349 -577
1323 876 -2812
1180 1157 -1040
119 479 3025
583 664 -8402
347 474 -9536
1226 1184 443
484 725 -5910
482 264 -3885
275 733 -9098
1285 806 5620
149 452 2314
505 194 -2539
1422 1337 -7612
1369 1393 3013
1310 874 2336
430 282 -5870
1477 848 1252
827 981 -2978
139 93 -6888
98 650 2367
1459 974 13
1290 783 -8322
241 362 1665
111 732 -78
420 333 -8866
1381 1211 -5613
601 355 6834
285 542 9799
644 216 768
413 133 -313
43 175 3023
357 436 4005
856 1357 2509
595 146 -7006
930 1127 3954
684 130 7303
1422 1448 1144
986 840 -5648
869 979 6416
701 714 957
551 151 -3601
1193 809 2186
160 481 -5989
367 669 6488
1002 1118 6695
582 424 -2952
1006 876 913
125 131 9418
1031 1252 -7109
472 92 5370
710 672 -4392
851 1409 3025
352 229 2039
1097 776 3212
632 651 4649
60 499 -7910
833 1006 -8868
804 758 13
137 639 -3594
106 349 -3351
1205 1344 -9146
1254 1407 2343
1057 771 4817
637 125 -4261
8 318 9333
633 193 -2353
135 505 -6867
48 230 -8845
53 335 -4117
1097 951 -1997
232 638 -2325
1434 1314 -8807
866 900 4766
480 152 3865
1282 825 -8423
1294 1043 -5597
901 1382 -1070
496 162 7817
992 839 8543
1481 1364 -6659
1232 777 -6233
1439 762 -1679
797 1090 6589
910 772 -1685
1015 1224 861
644 413 3471
1310 892 -8199
756 823 1137
1189 1027 -8266
679 521 -5265
782 1223 2082
661 650 -1126
1425 1159 1605
309 702 -9285
1045 1499 -9103
185 481 -2405
85 540 -6872
1192 799 888
1477 832 -8968
261 654 -3875
920 1042 154
1085 1396 9362
444 48 -1662
896 1378 9794
1027 1263 -8529
545 585 -1377
1259 1455 -4521
1124 1006 -5821
551 38 -5438
636 483 -6715
887 1107 -4309
1213 1047 8872
386 705 -650
629 242 3845
393 569 6524
362 678 1207
1382 1120 1947
204 322 -9578
397 681 -6408
411 268 -9969
544 178 8411
909 751 6522
1028 1329 4329
538 386 9443
1488 1320 -1513
104 144 2773
1127 1206 -8267
215 69 -7460
143 307 9365
1424 1466 -9314
451 579 -1880
1412 1090 -4819
455 729 -576
475 551 6399
372 304 -1127
1048 971 -275
840 1024 -8015
539 112 -5571
835 842 6188
695 249 -1216
133 244 -939
1279 1265 -8576
310 527 -7170
532 743 -1025
550 69 5107
941 1035 9909
243 578 -4119
47 67 4670
882 824 -9233
805 1129 2037
509 365 489
239 399 1743
953 1243 -3372
1392 950 3342
870 928 3616
575 745 1324
823 1235 6970
914 1110 -3515
921 988 -2208
440 452 3545
740 153 -6490
1229 947 -4991
50 467 -5135
1339 1228 1293
341 302 -839
1042 1293 7083
1136 1002 9749
854 906 3958
111 715 1775
1112 1234 -746
5 457 4171
845 1459 1185
1330 1408 -2105
1200 884 202
381 194 -9573
652 516 6622
781 904 6508
26 392 4483
1091 1088 -4869
50 127 1671
1199 1245 -7211
471 462 -3718
1268 1039 2961
702 531 -760
1475 1005 -8143
1280 1371 -6837
302 739 411
110 667 7487
1114 1063 -7479
764 1227 9822
797 1190 -456
571 195 -6424
181 610 1034
1257 993 1827
1020 1218 1737
129 8 7427
9 671 4835
63 498 9382
856 987 1434
27 499 5460
898 869 -3691
1414 1203 1066
261 269 9897
162 578 -5649
573 688 -3467
1423 1468 -2412
1467 1205 -1049
1286 1182 -5220
885 1492 -979
784 815 -4464
1431 1321 4742
1211 1299 5181
263 290 -6518
977 1198 -8873
791 798 -8523
13 727 5490
1166 1498 9566
