1000 6374
1 282 2396
282 725 -7972
725 780 3793
780 549 -8153
549 201 -715
201 217 2535
217 171 -6927
171 533 2215
533 892 -9960
892 220 -2147
220 408 9204
408 265 -8625
265 856 -5813
856 791 -3687
791 134 5783
134 39 214
39 890 -4221
890 859 -3853
859 192 1481
192 46 -1597
46 360 6834
360 148 896
148 284 7448
284 226 -8421
226 751 6976
751 813 5720
813 738 -6615
738 752 668
752 154 -4931
154 56 2075
56 607 -8820
607 986 -2199
986 608 -2090
608 873 -1898
873 371 -5105
371 180 -5049
180 496 -2234
496 303 8803
303 151 -7822
151 826 359
826 676 -3857
676 498 -3697
498 955 2042
955 80 -4954
80 191 -2295
191 530 -8673
530 143 5610
143 834 -9999
834 9 -1478
9 552 -5963
552 32 -6769
32 846 -7028
846 644 6855
644 76 -7408
76 694 -5413
694 653 7125
653 949 -7031
949 84 -9645
84 788 -4364
788 233 -8251
233 185 -412
185 109 -7129
109 271 -3762
271 539 -2441
539 415 -6252
415 901 450
901 542 -4746
542 486 -3508
486 493 9544
493 516 -1718
516 337 -7664
337 317 -6099
317 309 5908
309 691 181
691 225 -3420
225 228 2611
228 698 -8958
698 310 -6381
310 728 9108
728 899 -6044
899 444 -9559
444 532 -7250
532 597 4690
597 911 -4897
911 481 7969
481 370 -8176
370 546 -561
546 48 3033
48 416 757
416 831 966
831 896 -6889
896 482 8776
482 131 8473
131 122 -6684
122 803 -6981
803 869 7809
869 604 -6114
604 195 -6807
195 586 8559
586 161 -867
161 907 -1340
907 398 -5724
398 545 -9867
545 584 -5950
584 506 -8240
506 717 2103
717 634 -7463
634 956 -7521
956 222 -7297
222 463 5243
463 520 -1697
520 184 -5801
184 711 -1095
711 366 9445
366 735 -4038
735 158 -95
158 42 -5271
42 401 359
401 808 3198
808 928 -5009
928 74 -8533
74 383 4058
383 723 -5512
723 100 -1009
100 3 -8409
3 722 -5222
722 770 -995
770 479 -6769
479 289 -7522
289 565 7602
565 756 -1440
756 121 3204
121 989 -9822
989 581 -2982
581 591 -1400
591 888 8204
888 11 1835
11 177 2462
177 797 -8607
797 172 4561
172 703 3911
703 12 -2047
12 721 -8335
721 73 -2031
73 38 -2383
38 806 130
806 117 -7249
117 447 3997
447 359 -1754
359 861 -1410
861 511 -9265
511 820 -1729
820 153 1940
153 739 -6090
739 113 -7648
113 895 9440
895 855 -172
855 719 -8910
719 350 -806
350 318 -3608
318 61 -6151
61 499 4422
499 193 146
193 865 1607
865 351 2953
351 614 -1869
614 227 1681
227 249 -2189
249 904 -2164
904 521 9425
521 720 -7004
720 176 7507
176 361 6915
361 579 -5107
579 585 9652
585 115 4860
115 746 -9542
746 357 -5874
357 845 8056
845 102 -7270
102 425 -415
425 19 7676
19 737 -3862
737 334 -8431
334 165 -4649
165 104 -9118
104 790 -648
790 689 -9628
689 128 -440
128 645 -6989
645 173 -3268
173 982 -6090
982 83 -5798
83 991 3243
991 800 2734
800 960 4911
960 214 -3134
214 875 -8296
875 548 3608
548 810 7745
810 923 -2820
923 421 -9991
421 77 -4438
77 850 -1301
850 299 -2246
299 466 1669
466 882 9167
882 675 -7650
675 662 -1284
662 374 -4241
374 137 -6752
137 553 5727
553 283 -8095
283 433 -5367
433 420 2711
420 765 397
765 554 -7715
554 33 -4121
33 306 -4569
306 320 -6461
320 348 -9044
348 307 -4539
307 96 9514
96 86 -8641
86 633 1606
633 787 4203
787 700 -5894
700 531 3492
531 674 7284
674 396 8752
396 603 -475
603 664 2460
664 18 9154
18 62 4541
62 866 -933
866 838 -8509
838 439 725
439 394 -4717
394 868 -3670
868 280 3040
280 551 -4450
551 75 976
75 54 5292
54 403 5813
403 825 -3377
825 594 1709
594 81 -9794
81 37 -4614
37 983 -9266
983 570 -9652
570 544 -8332
544 297 4964
297 209 7976
209 718 -4175
718 255 -8116
255 647 -4404
647 308 -152
308 333 750
333 168 -5120
168 429 -9075
429 980 -3864
980 323 -2781
323 272 6560
272 505 -1234
505 475 455
475 353 8357
353 328 159
328 59 -959
59 573 1147
573 701 734
701 257 -6291
257 754 -886
754 224 4297
224 97 726
97 743 8453
743 30 -9916
30 248 -2125
248 525 2545
525 727 359
727 798 -9407
798 659 -1135
659 523 1817
523 405 -791
405 324 -6127
324 655 67
655 243 -4354
243 748 169
748 305 9669
305 637 -954
637 535 -5894
535 341 -8729
341 716 -4941
716 817 6373
817 876 9209
876 823 -1711
823 179 -3107
