745 1247
336 376 4249
603 461 6468
350 120 -9035
329 345 1422
630 577 -9079
659 271 -9442
85 473 -2930
61 333 -656
367 252 8921
740 82 1140
505 520 -6904
643 669 5027
522 334 -436
627 392 3638
310 280 1597
471 244 3473
283 148 -7568
3 461 -2210
195 424 1092
322 210 6285
721 542 62
487 537 7496
70 351 -5167
194 679 -9470
345 683 5856
454 4 3478
170 29 3566
610 414 -1887
427 545 -6975
469 216 -4645
172 149 -7391
631 164 4679
194 357 7390
130 120 -5334
372 563 8570
645 65 -7857
136 444 -8171
62 493 -4591
156 138 5991
295 338 3893
601 571 -4790
648 57 3672
392 600 9260
4 555 6724
154 358 3598
433 427 -7105
180 727 76
544 351 8587
603 246 6570
334 531 6356
152 246 5809
548 221 6183
456 478 -3572
553 75 -6590
142 148 9032
188 441 1502
462 194 3151
434 515 -8928
86 532 3573
121 85 -8667
409 425 -7136
455 379 7487
531 203 7380
571 530 -1161
14 66 2671
571 598 8861
57 241 7504
450 139 1232
590 136 9631
439 676 -3591
535 508 -2459
272 534 -7363
598 579 -3275
578 233 4893
1 607 -7188
191 339 6187
737 66 3599
691 537 -714
99 607 -6378
278 171 4413
155 562 -5102
518 70 -8833
51 2 -8115
687 336 -7987
545 673 4024
585 725 1369
734 274 1454
269 485 -9965
86 14 -4893
378 421 459
162 220 -2555
594 191 -4453
315 481 -8985
632 286 3624
589 223 -5118
157 392 -4134
71 228 210
179 329 1505
700 509 1969
247 570 -8605
727 127 264
380 204 -6449
196 272 8304
194 161 6138
184 238 851
509 223 -4540
292 223 -6653
106 201 9950
231 514 -5980
460 214 -2743
244 150 5459
367 659 1589
639 11 4569
490 710 -6414
612 401 6805
736 260 6640
498 255 -1679
576 691 -7230
339 726 4469
597 592 9346
653 716 -8860
643 482 -3800
224 548 -6944
609 55 2446
553 612 6464
157 669 4618
226 443 -876
227 689 4055
142 560 -5810
199 41 -7135
581 310 2729
644 393 -4347
458 62 8734
166 197 -359
499 367 -3574
553 661 265
545 361 9037
58 71 3844
328 70 7020
614 472 4861
376 73 8383
116 314 4066
568 713 -9626
678 128 -3934
278 225 6795
197 413 2784
282 484 -5387
53 221 3238
254 504 3854
719 657 1827
579 25 -7998
135 509 7962
491 744 -5270
479 399 671
434 190 4844
712 643 4035
100 264 -2742
251 644 -5866
589 737 -4325
50 459 -2990
246 507 2857
397 522 -8979
179 649 -2888
119 658 -2661
123 250 9103
275 530 295
722 250 1619
643 459 6204
505 373 -3209
719 252 -3675
255 225 -3454
80 143 -1919
736 380 -736
607 73 -217
61 313 -5282
252 206 9105
518 329 -3147
342 183 -4255
455 611 -4083
332 227 5297
185 386 -5783
660 59 -4439
247 429 -453
371 693 9722
37 134 3417
268 304 -5940
548 252 -6196
439 90 -7370
225 662 513
470 687 -1351
371 618 -8335
302 570 -6350
648 739 8516
551 380 -8138
686 120 9006
234 701 -9904
495 176 4501
638 575 -6057
294 136 5154
50 181 -9550
250 550 -6313
641 184 -3002
556 217 -8795
326 591 -2916
190 388 -1691
468 91 7293
471 333 -3597
283 628 7280
67 673 -5920
149 333 -2733
257 220 7889
397 64 6618
345 275 -7929
242 71 -6190
524 481 4155
104 77 -6219
344 520 8807
28 14 -5631
659 548 7500
544 410 862
21 345 -7601
193 401 7452
277 728 5789
87 737 -1792
365 168 -2463
450 519 -907
276 125 -1138
421 385 -2117
542 730 7116
637 697 -8170
282 250 9865
139 417 -5187
581 530 3361
596 456 7770
562 518 6842
669 367 9655
652 82 -3777
296 93 -7711
343 302 4905
394 716 2480
117 593 1879
346 492 -39
266 65 4259
661 41 -8687
477 463 9137
251 618 9224
506 228 4442
661 537 -5397
100 657 -3437
162 522 -2592
454 345 53
27 39 1672
129 375 8158
116 7 -7355
47 604 8303
665 267 225
151 415 353
640 411 4230
71 398 3696
218 96 -5030
406 488 -1799
599 13 -1990
419 86 148
333 234 -3586
684 52 3509
246 601 8359
686 307 5860
162 407 3892
371 485 2774
515 421 3283
239 135 1260
126 135 -8097
610 646 7712
180 347 4247
281 726 -4675
157 248 -6188
8 416 6196
181 382 7262
186 471 587
676 190 1967
104 153 6418
715 272 -3195
699 599 -7850
599 550 8314
504 618 2084
16 343 9144
689 166 1025
232 296 -5443
258 604 -8541
190 328 6600
411 501 -2917
11 743 5940
663 179 8072
304 120 9351
587 637 1964
344 153 7688
360 452 5893
387 583 -3702
189 452 -2775
567 306 8206
635 675 6792
626 546 -8407
498 130 -1931
430 374 -1937
247 380 3105
402 387 -1638
68 373 7944
253 553 -1149
287 263 -6903
469 523 6199
454 534 -5671
568 100 962
279 210 -7839
621 375 3998
267 226 -8959
722 683 -5645
412 483 7542
241 628 -5326
11 463 -2663
628 61 1375
439 331 9411
412 605 -6654
112 565 9164
292 34 5687
82 449 -3895
473 623 -4469
74 674 2834
177 659 -3619
28 190 -3666
705 50 6931
160 528 -3532
400 559 -8681
555 23 -3830
704 554 -8646
491 226 -504
683 280 8783
203 562 3646
282 416 -1648
99 727 5536
192 601 1483
112 51 8748
261 212 -2879
114 498 8974
300 547 -8008
420 644 1648
693 134 8236
601 579 -9465
83 76 -6326
670 416 -3045
216 698 9777
69 694 2184
632 627 6158
690 417 -3171
400 141 -579
189 546 6639
166 672 -582
98 376 -9259
537 631 -955
555 471 -8157
127 714 5552
722 66 -5282
527 572 -6586
534 310 5683
144 320 2268
42 425 -2135
646 404 -490
117 745 1264
183 530 -2799
413 202 8986
595 294 8079
71 352 8085
62 563 7070
203 492 1120
388 352 3929
359 454 9386
126 291 -9229
195 631 -3207
635 32 -3419
502 225 -8993
334 9 465
661 412 1811
684 262 -2198
462 443 -7930
432 417 -301
507 670 395
744 131 7591
132 228 -7228
336 668 2655
342 442 9483
124 237 -4802
131 311 -361
35 734 -6428
371 240 -5006
309 423 6717
