1500 9758
1 1013 -3387
1013 559 -4951
559 658 -4014
658 286 -3139
286 159 -2148
159 825 -8690
825 864 -9973
864 1149 -2617
1149 334 -3317
334 999 -9064
999 320 -2813
320 1271 -1395
1271 64 -3079
64 446 -6919
446 194 -9405
194 792 -4250
792 1247 -2393
1247 1240 -1400
1240 321 -5867
321 367 -7933
367 1197 -3604
1197 222 -5321
222 1181 -1819
1181 970 -7028
970 1338 -6431
1338 277 -8269
277 535 -6358
535 884 -6433
884 1031 -9202
1031 628 -9173
628 1112 -2409
1112 882 -7386
882 1198 -7307
1198 279 -9243
279 861 -9347
861 828 -7431
828 897 -3044
897 1007 -5954
1007 649 -8652
649 212 -9116
212 431 -511
431 572 -8959
572 147 -3143
147 294 -8887
294 1133 -1270
1133 86 -6919
86 18 -2390
18 818 -7751
818 1279 -8598
1279 1372 -6758
1372 1446 -7008
1446 252 -7777
252 1474 -7397
1474 1025 -9251
1025 1104 -7188
1104 1444 -4466
1444 217 -7784
217 1426 -8598
1426 597 -1563
597 768 -4611
768 656 -2167
656 345 -8821
345 295 -6687
295 306 -8433
306 422 -5979
422 190 -6802
190 437 -1694
437 578 -1928
578 267 -8685
267 932 -7540
932 61 -3773
61 485 -835
485 1414 -6718
1414 568 -8248
568 1215 -909
1215 1404 -8917
1404 787 -7926
787 763 -8998
763 891 -4575
891 1478 -3494
1478 694 -3470
694 931 -3156
931 477 -4983
477 1038 -29
1038 981 -1836
981 132 -2092
132 587 -8371
587 73 -5760
73 881 -8147
881 688 -2316
688 368 -8120
368 47 -5868
47 280 -1719
280 453 -162
453 156 -8929
156 624 -6645
624 789 -4449
789 57 -8756
57 869 -9479
869 95 -846
95 1382 -5912
1382 462 -4113
462 944 -688
944 1431 -758
1431 186 -3722
186 1049 -2313
1049 347 -71
347 537 -6951
537 739 -6141
739 364 -1214
364 257 -4672
257 500 -8846
500 874 -5641
874 594 -3736
594 1062 -9401
1062 1469 -4906
1469 214 -9153
214 806 -5562
806 629 -7551
629 253 -4469
253 447 -9270
447 311 -7671
311 1103 -8630
1103 1418 -9748
1418 127 -5499
127 1434 -1458
1434 163 -1062
163 1350 -6351
1350 1489 -4935
1489 718 -265
718 1106 -9031
1106 936 -400
936 856 -1277
856 798 -5679
798 91 -107
91 74 -1324
74 660 -6011
660 245 -9500
245 879 -9103
879 1459 -4915
1459 1391 -2564
1391 1020 -966
1020 1412 -9520
1412 831 -6168
831 410 -8143
410 1012 -5676
1012 114 -8845
114 328 -7391
328 1147 -1292
1147 843 -6263
843 791 -3968
791 957 -4682
957 109 -8379
109 329 -1408
329 155 -6364
155 110 -7170
110 285 -6395
285 851 -4783
851 550 -2071
550 1460 -6871
1460 784 -6819
784 1121 -2217
1121 998 -3957
998 1496 -5415
1496 1360 -5956
1360 1295 -5432
1295 693 -5337
693 741 -7198
741 158 -5241
158 218 -7720
218 355 -4378
355 926 -6114
926 1107 -1859
1107 1324 -3302
1324 962 -3015
962 1340 -6203
1340 529 -9479
529 1359 -1879
1359 1144 -9179
1144 1033 -6613
1033 593 -4821
593 275 -5674
275 484 -2223
484 1116 -6103
1116 1213 -8792
1213 501 -1533
501 986 -4643
986 238 -1055
238 1100 -3615
1100 1283 -8160
1283 519 -9067
519 713 -4212
713 773 -6654
773 1477 -5069
1477 704 -8538
704 366 -8250
366 1343 -836
1343 1336 -5907
1336 175 -5039
175 201 -4195
201 172 -4699
172 1454 -5077
1454 464 -2322
464 309 -9691
309 886 -9475
886 224 -8150
224 913 -5486
913 943 -7456
943 1193 -1483
1193 1401 -6513
1401 296 -1404
296 1200 -9236
1200 1142 -8788
1142 1079 -2923
1079 1384 -5044
1384 243 -659
243 449 -6534
449 34 -88
34 406 -226
406 1397 -8467
1397 425 -4384
425 421 -3422
421 697 -1754
697 809 -3839
809 119 -8161
119 1252 -6700
1252 1321 -7101
1321 652 -9874
652 661 -5895
661 52 -7288
52 815 -471
815 1406 -357
1406 1348 -379
1348 263 -9244
263 318 -5567
318 102 -9559
102 638 -7178
638 875 -318
875 557 -6012
557 1451 -9583
1451 346 -6994
346 1420 -5011
1420 1058 -6567
1058 164 -2228
164 1128 -5793
1128 1455 -9250
1455 1408 -4981
1408 101 -5271
101 1218 -2029
1218 149 -2072
149 951 -6082
951 189 -8470
189 409 -6708
409 1315 -5583
1315 1293 -5197
1293 673 -5136
673 1018 -9458
1018 512 -7326
512 63 -9110
63 283 -8791
283 736 -9124
736 982 -7407
982 375 -8249
375 106 -7642
106 1159 -9904
1159 726 -3619
726 339 -2952
339 65 -8238
65 1165 -4753
1165 644 -9495
644 94 -105
94 1163 -7232
1163 399 -4947
399 1433 -1299
1433 1425 -1925
1425 664 -1164
664 25 -1988
25 819 -6311
819 906 -9949
906 1249 -9707
1249 276 -5637
276 941 -9285
941 803 -9690
803 839 -1503
839 538 -4915
538 892 -4541
892 265 -1516
265 205 -4174
205 220 -5834
220 751 -123
751 204 -6846
204 868 -4881
868 118 -9299
118 992 -3441
992 583 -7580
583 788 -3002
788 1354 -833
1354 502 -100
502 505 -5061
505 1209 -5784
1209 608 -5535
608 459 -3016
459 720 -3103
720 1087 -3434
1087 1146 -6984
1146 1216 -571
1216 910 -941
910 918 -9157
918 1287 -1540
1287 332 -2339
332 424 -3217
424 1092 -7031
1092 273 -9350
273 148 -9255
148 260 -4739
260 920 -5543
920 1312 -8583
1312 1243 -9535
1243 379 -9261
379 1214 -2019
1214 1329 -9745
1329 1300 -2299
1300 1309 -3261
1309 1258 -7255
1258 1089 -4283
1089 354 -5749
354 1277 -5800
1277 1327 -9007
1327 637 -2360
637 1186 -4614
1186 71 -1455
71 606 -3628
606 1030 -878
1030 1468 -3097
1468 1288 -163
1288 179 -6214
179 547 -3608
547 952 -2050
952 984 -1592
984 1280 -5159
1280 75 -4939
75 1005 -1517
1005 441 -651
441 1068 -8690
1068 796 -5096
796 104 -3543
104 514 -3892
514 1443 -4405
1443 995 -6375
995 1152 -5757
1152 195 -1275
195 830 -3652
830 647 -815
647 196 -9559
196 337 -282
337 917 -1938
917 785 -1654
785 1284 -1266
1284 319 -7302
319 1273 -1519
1273 836 -9147
836 271 -1585
271 37 -7901
37 1019 -7971
1019 307 -8453
307 503 -4066
503 1045 -7343
1045 840 -7516
840 759 -794
759 1438 -688
1438 1084 -5293
1084 301 -1193
301 762 -687
762 515 -1837
515 1066 -707
1066 790 -5589
790 472 -1971
472 13 -9436
13 1091 -8789
1091 1109 -4979
1109 173 -2203
173 35 -2207
35 188 -8523
188 316 -7980
316 1156 -5836
1156 548 -8870
548 1463 -7117
1463 1472 -6954
1472 1306 -8074
1306 28 -115
28 569 -4605
569 1191 -9250
1191 254 -1956
254 1402 -9469
1402 972 -9143
972 904 -852
904 955 -3948
955 621 -7899
621 227 -3290
227 683 -1507
683 724 -6151
724 850 -2702
850 98 -5204
98 45 -9588
45 1285 -8074
1285 123 -7243
123 1436 -9968
1436 1060 -5319
1060 237 -703
237 994 -8253
994 817 -2815
817 19 -1687
19 1466 -3531
1466 571 -1070
571 162 -4567
162 543 -6129
543 978 -464
978 344 -2927
344 151 -879
151 835 -8934
835 1467 -3761
1467 312 -4525
312 769 -8358
769 612 -8674
612 113 -7017
113 1481 -9683
1481 707 -7207
707 1326 -7385
1326 1056 -3834
1056 1497 -4221
1497 779 -3709
779 1001 -3508
1001 1257 -7224
1257 975 -2802
975 418 -3462
418 746 -8512
746 1374 -2706
1374 465 -3791
465 1096 -7610
1096 236 -465
236 973 -1956
973 520 -2580
520 51 -8329
51 1105 -7561
1105 440 -8606
440 940 -3872
940 1232 -5559
1232 411 -5916
411 1449 -1362
1449 1176 -3997
1176 1054 -5959
1054 1158 -7583
1158 1278 -1409
1278 1010 -8841
1010 1260 -3496
1260 325 -2949
325 327 -9427
327 566 -7673
566 1179 -4786
1179 105 -2984
105 750 -3673
750 546 -1999
546 1388 -7967
1388 702 -3831
702 398 -419
398 524 -9734
524 949 -1179
949 416 -3668
416 1440 -8208
1440 298 -6882
298 1138 -2634
1138 242 -1995
242 679 -6330
679 922 -729
922 178 -8364
178 59 -5939
59 600 -1998
600 681 -5327
681 1265 -8546
1265 46 -4613
46 698 -8524
698 38 -4533
38 1043 -189
1043 1034 -141
1034 558 -8339
558 1183 -7824
1183 333 -5852
333 338 -9156
338 429 -6987
429 215 -5689
215 530 -3554
530 616 -1673
616 380 -8735
380 1190 -617
1190 958 -2489
958 648 -3940
648 213 -7617
213 134 -3505
134 370 -8441
370 198 -2137
198 782 -8989
782 483 -2331
483 689 -4935
689 407 -3101
407 33 -6057
33 1421 -7810
1421 181 -8767
181 266 -5995
266 1346 -753
1346 160 -6722
160 1185 -4864
1185 907 -6179
907 802 -1877
802 438 -6560
438 896 -8682
896 1220 -5223
1220 291 -8816
291 475 -8345
475 383 -6617
383 1303 -1062
1303 17 -1895
17 799 -3402
799 570 -6926
570 607 -2246
607 509 -6150
509 561 -1571
561 574 -4594
574 700 -7522
700 413 -5098
413 1403 -9851
1403 737 -4315
737 1299 -8535
1299 775 -239
775 41 -3601
41 235 -1466
235 1371 -6430
1371 996 -536
996 544 -1897
544 4 -523
4 771 -4441
771 894 -3777
894 1177 -2529
1177 1228 -9514
1228 517 -8495
517 1349 -6821
1349 1379 -7831
1379 976 -1686
976 1458 -6215
1458 1317 -8958
1317 209 -7692
209 701 -6807
701 857 -7428
857 1150 -752
1150 1417 -53
1417 691 -63
691 352 -4869
352 467 -1060
467 166 -6773
166 247 -8659
247 414 -7722
414 396 -3542
396 1040 -3004
1040 1322 -6838
1322 969 -7781
969 1129 -6239
1129 1448 -6271
1448 1080 -74
1080 244 -8551
244 157 -6337
157 1231 -5093
1231 264 -4663
264 6 -3831
6 801 -5220
801 1335 -3797
1335 1017 -1783
1017 633 -4433
633 165 -9315
165 1405 -1825
1405 469 -5032
469 386 -9570
386 145 -5670
145 1342 -6961
1342 534 -2799
534 400 -934
400 116 -94
116 873 -3376
873 499 -1564
499 394 -7246
394 776 -6627
776 1194 -7480
1194 1254 -7187
1254 528 -8835
528 1281 -8029
1281 598 -9533
598 1237 -5797
1237 136 -637
136 1419 -981
1419 1195 -8026
1195 555 -8432
555 81 -8256
81 1390 -7194
1390 1383 -766
1383 39 -8427
39 79 -2555
79 50 -19
50 971 -7524
971 909 -4624
909 268 -784
268 1368 -9097
1368 669 -1590
669 919 -9688
919 80 -3123
80 258 -1104
258 1171 -5968
1171 443 -6328
443 452 -8179
452 1023 -3625
1023 847 -9605
847 1099 -4542
1099 1453 -7387
1453 1270 -2329
1270 111 -2594
111 1077 -2506
1077 466 -150
466 821 -6343
821 1050 -660
1050 373 -1645
373 1498 -3700
1498 439 -3081
439 663 -9739
663 490 -9571
490 609 -8256
609 16 -4013
16 632 -780
632 203 -9728
203 49 -3773
49 1234 -9431
1234 761 -7288
761 862 -8044
862 31 -1029
31 89 -9229
89 448 -5902
448 1037 -6671
