100 3000
73 85
32 1 310
12 71 849
32 35 775
67 61 927
29 30 985
31 50 599
48 13 123
60 9 801
46 8 985
47 35 147
81 43 35
2 4 162
6 26 955
82 81 981
53 80 869
84 43 800
5 69 870
84 81 176
40 15 901
32 19 692
34 80 570
76 3 652
82 58 748
49 27 231
26 47 498
20 66 625
10 18 395
32 7 254
51 84 196
39 97 536
70 80 171
94 3 834
12 67 750
32 60 235
73 42 566
7 15 683
55 9 30
61 59 954
34 96 337
79 75 812
6 70 777
89 73 814
81 65 606
41 7 334
80 33 885
93 78 898
54 47 906
100 56 556
31 90 449
2 18 375
61 81 749
41 26 409
62 7 598
63 81 554
67 66 229
72 95 864
45 65 721
88 94 489
75 85 651
19 13 386
19 87 895
31 91 93
67 25 654
32 25 920
11 9 252
35 78 970
100 49 238
18 22 82
12 37 436
61 89 152
99 61 526
25 2 950
56 23 32
61 10 459
72 10 797
65 15 664
97 88 672
89 15 423
100 18 923
40 25 420
89 14 94
27 55 623
74 92 681
74 86 672
92 66 465
48 71 140
57 43 688
18 84 172
3 63 341
77 65 264
65 88 600
61 37 753
4 72 74
46 54 827
13 14 827
67 83 491
97 61 903
54 67 60
38 42 412
94 21 918
29 86 217
85 84 452
37 42 508
15 22 364
15 8 176
45 88 12
2 48 301
61 55 107
73 21 521
98 100 61
26 96 948
71 39 595
88 83 779
4 20 952
64 95 365
64 16 262
77 8 335
81 99 360
90 8 923
76 26 702
32 62 40
46 93 29
71 79 415
16 15 206
48 85 347
8 94 113
49 58 834
44 10 950
69 3 144
21 44 511
10 1 823
70 37 327
12 29 764
17 57 837
79 36 848
26 86 200
50 58 852
73 8 894
63 44 442
72 23 89
62 2 61
87 86 829
31 81 91
11 15 561
82 21 770
73 97 324
20 36 582
54 23 335
11 45 280
87 70 491
85 15 909
51 69 866
63 2 190
46 3 338
45 87 49
56 94 425
63 88 906
15 61 974
81 40 192
29 42 951
27 38 491
62 95 910
4 15 255
71 63 168
78 4 297
8 55 132
90 35 757
45 7 756
88 30 100
23 24 810
43 45 378
36 39 578
47 87 674
44 75 793
50 17 793
46 34 229
97 14 18
24 44 284
24 96 593
39 85 434
80 63 684
21 65 334
56 95 378
73 69 45
100 63 910
99 21 35
21 48 362
73 45 663
87 33 515
10 86 576
7 100 43
56 62 146
7 21 752
44 71 524
68 85 790
2 29 524
78 45 579
3 19 993
9 2 411
23 52 80
63 64 46
21 82 581
64 28 37
80 53 615
29 97 894
56 15 164
28 1 594
53 57 328
82 33 681
57 94 197
69 34 895
17 88 454
65 57 450
61 95 837
87 60 417
60 28 853
79 42 248
97 69 702
74 37 420
3 75 514
13 24 757
43 65 578
25 92 650
37 15 57
57 31 644
80 54 276
76 6 379
6 68 45
27 71 335
53 12 479
77 2 989
52 13 318
80 67 465
88 29 82
66 75 122
35 42 581
66 74 904
97 22 747
16 49 777
5 12 732
50 87 384
87 42 649
47 41 120
77 18 121
45 23 233
49 28 663
6 62 588
9 39 760
53 2 188
79 5 246
96 16 363
11 43 346
44 8 246
76 100 197
18 52 4
47 83 789
51 29 42
36 22 620
37 76 354
41 31 124
60 38 233
56 8 445
21 70 884
10 98 730
43 62 53
12 60 94
56 71 740
41 14 80
74 70 416
18 68 116
46 64 1000
76 38 471
19 1 212
83 14 867
33 6 919
93 24 428
71 100 687
4 80 572
9 81 167
78 81 749
3 27 44
74 19 336
3 45 329
31 92 377
37 70 659
98 57 937
61 26 186
68 72 577
61 77 555
33 36 483
52 74 537
84 94 89
40 71 21
5 21 256
73 79 588
1 7 242
3 34 508
66 19 321
34 17 152
33 20 207
99 59 218
89 92 730
45 64 207
10 40 859
60 15 996
26 65 403
32 14 544
70 73 942
18 72 436
64 52 2
59 78 551
98 30 492
44 72 338
60 51 394
40 48 376
68 6 725
22 60 897
44 94 512
50 71 995
32 12 836
85 93 283
12 40 708
84 35 953
48 83 419
53 10 476
52 48 914
17 94 781
44 100 458
61 14 529
81 78 203
67 65 376
63 78 92
68 96 620
78 92 556
59 86 832
38 28 607
92 34 553
37 68 942
50 2 516
82 97 359
98 10 588
96 41 15
51 33 380
33 41 751
90 30 15
67 39 796
80 40 279
45 24 707
41 75 408
38 60 662
34 40 894
21 34 424
60 13 787
38 89 821
14 46 685
53 29 552
82 70 895
65 79 603
89 85 899
62 20 29
61 69 616
47 29 884
27 47 696
4 16 888
78 61 694
65 25 906
40 1 560
88 85 186
16 97 894
79 72 707
95 80 313
99 29 375
67 60 373
12 49 668
70 43 686
89 59 209
90 70 944
4 55 947
8 42 449
57 76 974
73 24 413
50 42 263
9 25 154
5 34 56
75 74 514
95 56 187
90 38 941
18 65 438
32 42 665
46 45 105
65 87 982
70 4 408
64 34 745
92 21 224
57 20 399
63 94 967
38 39 360
64 19 278
60 52 723
40 55 732
73 46 275
89 6 809
81 32 241
36 48 333
99 86 987
3 23 177
56 35 783
56 72 564
85 92 640
39 75 688
15 28 802
95 63 826
16 51 716
8 88 465
27 30 809
35 3 601
92 70 238
27 7 973
71 80 497
92 39 999
51 81 398
96 77 134
92 78 614
58 73 854
42 12 809
93 11 236
15 12 116
6 14 98
23 14 289
98 78 163
71 86 747
13 48 361
1 95 782
18 76 130
51 7 313
13 9 70
56 9 573
66 72 137
15 21 303
41 50 115
26 44 974
20 80 669
33 38 463
16 31 779
27 72 691
65 1 95
38 79 243
33 93 273
96 53 241
67 85 322
85 89 483
14 47 446
71 20 424
37 49 403
28 56 759
24 84 173
20 10 444
95 71 736
39 69 997
58 91 505
49 99 313
39 30 71
93 26 286
29 99 560
18 100 721
11 35 2
31 62 841
30 26 215
59 80 533
49 84 76
78 33 312
69 18 792
80 26 808
16 89 690
62 83 493
3 85 35
74 76 298
60 49 637
35 50 964
39 68 908
64 35 724
96 39 144
30 12 772
97 89 357
72 83 604
16 1 150
82 14 440
40 84 916
54 55 257
46 9 809
74 39 844
21 61 523
30 52 960
63 6 842
9 75 473
29 55 686
88 5 756
23 41 684
4 71 354
9 22 372
84 23 304
49 24 58
1 100 176
81 42 881
88 1 300
55 90 750
76 1 687
10 20 764
68 54 906
51 49 821
65 11 655
90 6 618
6 44 857
3 69 260
100 16 680
83 37 8
19 78 555
55 48 987
42 22 571
59 36 830
49 95 250
76 32 893
83 33 210
76 88 492
13 28 911
60 74 507
94 20 135
88 27 852
85 25 692
75 45 756
33 24 578
35 92 909
18 36 242
63 74 585
19 25 394
35 70 210
15 93 676
45 42 75
82 61 881
32 87 931
40 59 906
55 74 333
69 71 308
20 12 874
10 88 314
82 36 774
96 91 843
53 79 496
76 59 523
90 48 388
48 41 848
75 67 490
66 60 318
88 46 178
86 33 971
29 90 265
63 16 908
34 38 624
44 56 899
9 76 936
92 29 903
75 71 367
91 77 997
66 81 866
91 78 952
55 66 181
93 80 632
9 84 88
5 71 64
67 32 136
99 80 714
43 89 727
21 32 4
97 53 441
90 23 2
4 64 880
76 71 839
89 22 621
28 38 110
20 63 493
37 27 786
5 60 137
55 16 18
11 69 967
16 35 841
3 55 252
58 98 194
81 1 920
54 79 988
80 76 573
2 13 190
87 61 30
94 79 623
97 49 46
91 10 439
55 44 431
22 83 342
27 83 203
10 49 427
11 10 618
2 63 449
86 34 453
28 18 179
58 42 653
19 46 959
38 18 182
94 96 463
11 39 976
84 21 346
67 74 171
81 73 498
7 75 726
45 89 448
20 8 351
48 45 376
99 22 57
99 66 983
49 35 989
66 43 279
84 36 488
57 12 74
41 63 617
16 78 281
66 7 910
14 71 881
66 26 307
39 92 971
94 74 317
8 63 103
42 81 490
71 19 225
52 15 819
7 18 992
96 1 799
5 1 24
76 67 118
29 84 86
90 66 391
73 6 974
21 73 538
36 6 416
74 46 447
33 90 399
9 90 923
68 91 215
4 32 809
55 6 994
100 14 387
29 82 948
52 17 620
45 28 256
22 44 731
33 25 663
32 67 361
36 9 670
35 88 136
31 25 969
32 86 304
79 100 632
7 72 854
61 92 20
18 49 931
67 76 181
62 73 991
67 73 133
67 72 347
85 43 38
91 48 154
68 75 52
56 81 543
55 78 335
59 17 814
77 75 668
2 37 643
18 6 640
38 19 982
45 77 825
44 50 33
56 97 927
32 75 118
3 89 924
55 49 124
89 96 969
24 57 898
64 40 907
86 39 338
33 91 321
80 17 689
96 58 855
67 57 811
91 28 119
11 82 606
49 77 901
41 37 336
79 82 302
79 37 773
66 92 259
91 65 883
53 48 721
64 92 292
85 29 310
64 1 620
58 71 942
42 56 833
57 80 1
5 35 244
97 60 68
55 19 941
91 69 645
45 67 344
99 73 112
59 27 830
5 6 884
34 6 809
32 47 245
84 53 522
41 79 72
4 31 448
46 68 172
6 10 777
53 44 946
83 91 569
85 50 215
11 86 4
58 84 350
81 11 291
58 96 924
84 89 722
24 100 4
12 44 830
80 56 441
75 65 875
84 86 294
14 41 869
70 26 190
18 40 301
25 51 264
82 53 425
87 76 730
46 58 845
23 96 844
33 1 836
8 7 896
68 62 38
11 32 817
72 18 150
78 48 353
99 26 958
83 56 558
19 80 970
32 6 299
100 27 15
