100 9900
1 100
1 4 862
21 28 672
32 17 373
43 9 475
8 85 60
30 92 368
78 33 698
85 72 307
17 33 467
25 83 280
49 15 875
29 78 977
50 89 828
3 15 144
51 3 593
1 78 651
78 71 558
21 69 593
96 65 999
25 68 296
9 78 496
89 51 574
96 69 339
1 71 989
78 75 198
15 92 785
59 87 690
29 10 629
29 88 162
28 55 961
18 16 269
18 58 499
29 16 610
74 75 81
8 6 107
80 81 382
62 44 741
50 35 819
82 15 94
68 23 571
26 37 838
70 91 319
48 30 767
75 56 724
42 55 596
89 67 113
48 41 115
6 55 674
9 93 839
69 93 278
71 74 500
67 16 231
95 37 127
99 31 55
11 87 555
70 11 669
2 31 905
54 33 443
91 35 354
49 8 851
77 19 923
50 13 893
41 21 808
59 11 624
93 55 327
45 23 185
70 100 630
70 55 98
75 15 233
89 72 439
99 16 40
19 1 379
40 37 83
46 51 461
68 82 567
26 38 583
88 61 258
70 56 879
79 46 206
70 84 752
91 19 776
27 30 703
46 97 189
2 23 900
33 87 764
97 28 397
84 3 247
6 51 423
1 16 710
32 40 548
27 16 293
8 71 331
79 66 567
90 3 256
89 69 33
42 15 4
53 77 571
24 87 62
67 21 804
53 42 40
100 17 47
6 11 804
96 12 214
77 99 498
4 60 803
93 52 661
100 77 716
90 100 733
79 2 367
32 8 784
27 86 919
5 90 925
49 69 379
43 75 697
35 63 510
97 11 991
3 62 357
52 65 811
64 96 499
49 100 240
20 44 690
76 4 613
81 47 169
64 8 963
79 88 431
1 23 578
89 6 475
94 87 860
73 99 213
16 67 826
19 2 817
57 47 440
15 80 873
10 60 800
22 48 404
51 71 781
32 4 605
30 6 466
22 9 656
86 35 306
48 92 724
42 9 809
26 4 348
89 87 438
26 43 369
66 43 636
76 82 456
54 62 308
25 41 725
66 18 961
4 33 895
47 52 878
68 42 583
15 98 471
16 32 614
82 49 136
47 15 331
67 83 857
16 18 748
28 35 248
4 91 690
9 67 15
62 59 771
20 90 812
65 49 782
75 20 379
91 53 875
73 30 594
11 35 354
43 58 914
68 74 996
36 10 401
28 93 237
39 9 529
52 54 225
20 42 970
51 58 372
38 79 915
69 58 528
93 23 23
98 50 971
21 83 96
44 7 998
39 71 866
83 40 656
28 87 182
37 42 83
97 1 188
11 7 637
28 81 119
70 41 489
53 11 938
33 96 274
80 86 421
51 29 726
34 43 433
98 37 587
71 49 176
33 42 484
36 47 65
19 100 551
46 90 822
60 42 299
85 58 282
65 89 254
63 5 475
83 87 222
98 67 701
27 91 237
48 36 808
61 3 416
23 50 513
26 56 605
34 58 765
71 17 925
45 72 559
55 52 733
90 55 604
85 43 22
95 4 733
91 26 644
94 79 57
10 36 883
21 95 587
99 80 387
79 47 507
74 94 280
17 14 993
14 34 155
42 50 104
39 30 275
7 30 842
25 38 585
6 27 394
8 77 416
4 72 516
45 73 4
10 25 529
81 63 264
84 48 456
5 67 668
43 24 580
59 84 25
37 83 805
92 8 265
52 75 778
46 39 170
90 48 141
93 63 592
9 45 37
70 14 194
10 35 625
44 58 303
70 42 91
72 97 216
81 43 704
99 43 35
74 11 595
62 90 610
78 32 626
88 28 262
8 38 12
33 89 177
8 88 376
16 26 473
92 43 153
13 64 305
40 58 853
84 17 744
77 70 163
36 30 924
42 22 242
4 87 838
2 19 524
29 63 547
18 73 247
17 89 897
10 26 895
70 13 419
89 42 892
57 2 881
59 40 930
92 58 650
39 13 88
100 52 967
28 41 672
47 7 84
76 15 879
22 56 159
62 64 953
98 27 12
27 20 985
96 82 150
53 29 604
51 32 327
78 9 685
90 5 391
91 49 415
80 10 680
87 29 130
91 82 87
25 96 392
86 78 945
11 1 282
72 24 401
11 68 34
67 98 720
68 56 368
33 40 97
30 80 537
55 3 675
57 22 527
91 44 644
28 58 722
22 50 657
33 60 535
44 14 514
79 71 223
44 97 751
81 42 7
94 55 468
47 55 828
10 6 634
18 1 704
89 82 53
15 86 26
