100 99
1 100
1 2 1
2 3 32
3 4 862
4 5 203
5 6 273
6 7 672
7 8 319
8 9 162
9 10 373
10 11 426
11 12 83
12 13 475
13 14 71
14 15 841
15 16 60
16 17 294
17 18 918
18 19 368
19 20 775
20 21 328
21 22 698
22 23 845
23 24 718
24 25 307
25 26 163
26 27 330
27 28 467
28 29 247
29 30 826
30 31 280
31 32 482
32 33 150
33 34 875
34 35 288
35 36 773
36 37 977
37 38 493
38 39 888
39 40 828
40 41 21
41 42 142
42 43 144
43 44 501
44 45 22
45 46 593
46 47 10
47 48 775
48 49 651
49 50 771
50 51 709
51 52 558
52 53 207
53 54 682
54 55 593
55 56 956
56 57 645
57 58 999
58 59 244
59 60 677
60 61 296
61 62 86
62 63 773
63 64 496
64 65 882
65 66 510
66 67 574
67 68 954
68 69 685
69 70 339
70 71 8
71 72 706
72 73 989
73 74 775
74 75 750
75 76 198
76 77 144
77 78 914
78 79 785
79 80 590
80 81 865
81 82 690
82 83 288
83 84 94
84 85 629
85 86 281
86 87 878
87 88 162
88 89 274
89 90 544
90 91 961
91 92 175
92 93 158
93 94 269
94 95 178
95 96 577
96 97 499
97 98 286
98 99 156
99 100 610
