75 480
74 53 101
13 21 281
6 39 529
72 20 825
48 11 959
34 14 492
63 67 463
35 47 455
50 42 852
49 19 968
15 60 92
27 32 53
55 57 302
49 59 46
67 8 514
25 61 982
6 16 748
70 55 866
15 35 327
31 75 722
56 58 472
72 68 270
5 41 923
45 51 971
15 56 369
64 39 252
69 70 775
54 29 885
40 38 926
9 45 967
18 67 667
63 26 608
16 28 950
6 33 565
24 67 82
36 17 475
12 27 900
26 74 364
53 42 179
69 65 537
31 63 891
50 5 132
9 25 89
66 48 291
64 36 697
56 40 490
8 10 463
50 24 755
25 71 42
53 34 792
37 33 454
22 34 250
4 6 881
28 24 38
59 17 714
61 28 877
59 47 982
59 42 128
75 73 545
43 38 900
21 75 527
53 67 330
17 25 187
54 62 367
64 61 639
27 17 548
16 39 777
67 39 203
19 61 859
21 19 833
4 46 865
41 73 99
50 73 875
12 48 528
51 20 137
43 33 240
35 3 424
60 52 899
71 11 972
24 44 674
22 39 789
14 27 135
56 65 257
26 7 232
65 74 934
56 20 599
14 40 742
10 2 804
66 38 305
55 69 531
6 52 640
63 21 429
4 41 834
38 60 274
16 62 259
28 21 449
35 43 329
60 31 436
13 64 469
36 67 271
68 36 730
25 52 614
4 70 99
39 27 469
72 1 913
10 18 577
30 52 577
39 43 267
72 25 3
31 27 50
18 29 406
28 1 659
16 49 405
4 63 484
71 62 294
19 11 679
62 50 991
62 63 459
26 1 23
63 12 594
23 69 163
1 40 604
29 64 371
50 32 29
53 47 735
12 22 182
6 26 691
66 58 290
63 28 833
67 29 723
60 3 949
17 57 411
1 62 286
11 57 354
69 68 310
59 31 671
20 31 182
23 13 704
36 48 608
13 2 619
72 35 571
74 64 545
27 16 260
64 18 853
23 28 498
40 29 533
10 12 469
1 15 85
17 62 828
35 41 717
47 56 785
15 52 241
33 71 561
26 23 683
55 28 355
24 41 632
61 10 598
71 3 492
9 40 440
8 47 438
33 64 157
46 7 789
64 15 26
70 21 41
60 44 284
12 50 731
12 55 605
40 3 962
75 64 177
60 6 628
46 26 466
25 66 421
15 62 266
62 64 425
46 69 52
73 33 783
26 10 257
13 70 426
18 38 928
52 44 997
15 68 804
15 44 573
51 50 998
65 75 872
38 12 70
14 15 333
44 26 153
14 54 749
29 25 602
19 56 794
66 1 329
12 26 925
57 9 257
47 24 685
37 65 927
32 53 706
69 21 429
40 60 340
2 75 255
66 63 794
75 6 176
33 66 342
15 29 58
23 54 509
67 46 742
20 47 257
15 28 515
14 69 890
51 7 210
57 50 960
27 25 941
47 66 647
38 25 461
8 20 309
71 69 176
44 43 858
5 49 535
45 43 708
48 72 880
56 22 40
5 28 485
52 74 347
17 72 459
26 51 493
73 5 39
10 69 125
42 74 79
5 68 998
50 1 280
39 60 370
23 21 405
50 31 694
61 2 489
70 73 236
62 45 463
27 45 545
40 7 918
19 7 918
49 40 714
42 58 732
48 15 1
50 33 748
6 51 54
74 45 992
12 14 438
58 35 2
60 16 493
75 53 777
13 24 225
58 10 897
43 26 48
10 24 882
24 31 31
55 51 369
38 33 135
39 41 477
70 36 128
27 72 687
3 13 589
7 71 853
11 73 840
53 73 488
26 52 583
50 47 781
26 69 191
4 59 159
42 10 960
19 60 231
49 1 557
19 54 247
25 56 615
58 51 540
40 20 247
42 46 207
43 27 996
12 35 848
17 65 769
62 26 692
58 59 86
42 45 469
73 7 45
6 10 93
13 71 320
21 57 252
33 58 644
11 23 82
27 6 759
43 20 53
72 30 453
10 65 78
63 17 109
71 68 873
35 51 207
14 51 693
27 64 306
62 72 255
72 18 206
47 32 822
62 39 141
41 21 26
46 68 160
26 36 458
22 61 103
38 37 675
43 9 139
51 63 499
12 64 510
10 67 950
38 23 235
51 53 656
4 49 7
9 12 36
33 46 856
54 18 432
34 63 888
6 5 831
14 59 906
6 72 93
4 69 215
20 64 679
75 62 627
52 27 336
62 24 97
58 46 202
56 54 671
37 14 964
7 50 731
48 38 873
16 71 205
26 37 183
4 3 484
67 54 68
30 1 955
51 64 15
17 30 135
45 20 774
47 2 986
6 65 422
74 38 507
71 19 929
27 69 283
24 1 629
30 20 576
5 59 51
16 46 443
55 20 281
37 53 833
62 51 63
54 48 454
54 12 337
50 53 788
22 46 780
56 7 638
72 16 730
60 30 224
22 69 474
8 4 621
67 58 909
48 35 639
12 72 656
18 24 751
37 3 496
41 55 648
74 14 401
32 36 634
67 9 297
36 8 299
12 51 778
30 41 151
61 71 368
4 36 210
74 1 269
24 48 116
60 59 80
4 50 409
9 75 284
74 37 720
73 24 644
8 2 99
16 7 221
16 47 720
32 11 44
12 16 375
25 26 614
7 22 149
11 41 773
4 53 964
73 56 259
71 10 379
17 32 815
11 60 979
67 27 26
70 17 436
13 31 855
33 32 491
42 6 10
52 46 945
72 74 790
23 8 868
35 62 63
46 37 744
9 52 608
60 41 811
38 6 856
42 22 669
74 55 271
40 65 516
23 73 22
8 66 483
13 61 328
3 64 836
41 74 639
11 55 860
25 10 312
28 53 666
66 12 281
36 56 661
70 12 852
20 71 602
26 31 796
52 71 614
32 34 964
51 40 810
38 28 269
73 12 734
50 19 623
43 6 944
1 61 94
36 15 977
55 5 549
41 68 993
59 51 663
9 54 17
31 52 180
66 59 35
36 43 22
31 42 104
24 33 504
66 74 842
61 75 805
2 32 665
22 10 201
50 8 778
3 55 389
58 7 942
73 18 511
25 63 141
31 44 722
7 11 551
41 1 69
64 9 466
43 51 680
37 18 239
75 56 845
33 39 381
31 35 353
43 66 535
2 1 937
16 63 925
59 62 620
48 16 930
28 9 851
12 47 521
38 46 95
26 66 604
36 42 175
2 35 650
59 18 689
72 33 683
19 69 11
73 61 19
53 25 59
29 55 298
43 3 973
18 8 219
30 14 894
15 37 958
7 33 488
44 12 114
66 60 332
