50 180
47 50 227
37 26 224
15 8 483
1 40 617
40 24 75
32 47 247
48 8 955
4 28 393
15 47 69
3 30 447
39 26 266
6 34 891
31 27 572
18 3 800
21 2 900
38 41 907
37 45 528
24 25 603
16 39 735
28 5 139
8 34 784
40 37 147
2 11 70
6 28 667
33 49 93
30 49 834
5 31 184
13 23 305
19 7 322
7 26 887
16 4 218
42 15 766
4 44 936
22 2 289
8 26 662
42 20 955
9 47 311
44 30 873
34 11 120
46 20 592
21 26 958
18 27 18
48 2 11
46 2 834
8 31 192
4 17 307
21 42 345
43 26 973
44 49 417
24 21 339
41 43 804
22 35 909
4 9 934
25 39 98
11 16 459
40 21 965
27 24 82
23 45 706
29 4 893
25 50 542
13 30 286
19 20 256
5 24 75
46 48 611
11 33 274
16 27 495
40 11 179
47 5 331
34 21 972
35 49 599
1 14 800
13 15 158
27 5 823
33 18 702
41 32 236
27 49 718
37 4 732
3 31 423
40 26 56
5 14 756
41 23 722
34 44 516
11 38 423
17 40 937
36 8 754
4 11 42
29 34 523
13 42 791
37 16 903
5 1 365
20 33 841
15 21 582
23 19 446
10 17 897
37 25 192
28 33 145
37 33 529
33 36 745
36 49 582
21 27 11
12 41 538
19 9 136
2 8 791
5 10 181
36 19 867
33 39 683
23 24 398
24 12 481
36 41 487
45 42 700
34 46 899
36 1 845
9 30 686
27 42 400
29 43 49
21 25 457
28 23 718
25 15 311
28 22 429
41 42 15
19 15 887
10 36 641
19 14 528
20 35 678
45 10 366
20 49 842
12 29 927
49 28 359
6 26 222
37 30 398
43 48 464
49 13 859
12 28 681
17 13 178
9 45 779
1 39 114
26 49 794
3 39 10
38 7 801
38 8 324
47 21 390
3 13 955
44 19 876
3 9 547
32 48 121
20 30 926
15 38 2
46 28 266
4 26 972
45 14 741
29 40 482
19 41 552
12 23 621
2 31 450
4 42 152
50 26 23
38 50 993
29 8 19
14 18 295
29 30 436
46 24 529
18 19 906
30 5 844
20 37 52
37 34 987
21 43 344
18 13 676
17 45 322
16 49 645
3 48 355
37 18 667
35 13 14
50 4 137
28 15 460
6 31 249
26 10 158
44 17 719
10 31 80
9 37 417
45 18 937
