40 130
14 37 775
3 13 422
19 34 114
26 17 801
10 21 46
34 32 521
10 9 327
13 34 118
5 29 360
17 4 855
11 6 38
33 30 75
1 3 35
32 37 263
28 5 417
38 33 956
35 18 401
40 23 552
2 9 7
20 21 881
28 10 867
20 31 120
31 18 564
8 30 516
15 30 351
4 8 154
33 2 523
35 12 606
1 5 807
20 36 700
2 16 157
7 35 222
17 31 525
10 14 395
4 15 477
17 13 739
5 10 845
31 12 191
23 5 156
9 16 264
18 2 354
13 12 344
10 38 417
11 2 373
10 34 983
16 28 119
16 15 99
35 29 879
28 24 939
39 15 934
4 9 471
2 13 518
13 36 272
28 35 206
34 31 577
15 8 501
11 14 559
28 17 773
14 40 947
20 28 363
6 4 627
27 1 575
28 13 866
32 5 176
35 37 405
1 36 402
35 31 980
38 12 538
6 8 829
7 16 712
10 39 771
29 1 554
38 13 605
40 29 235
33 27 336
26 5 881
25 20 649
36 40 221
31 26 267
2 8 422
26 36 79
27 31 750
12 29 180
36 14 969
38 40 527
13 14 561
26 10 409
4 14 964
14 18 608
7 32 737
1 18 210
40 12 753
10 24 495
37 17 661
13 26 90
19 7 62
6 7 830
17 24 756
20 5 916
4 31 605
38 34 444
22 31 92
2 5 7
8 23 271
30 26 723
34 40 100
18 17 604
3 21 664
25 2 426
22 23 773
39 24 110
18 30 354
1 11 526
34 37 536
37 39 429
12 33 708
34 8 550
21 29 812
28 33 500
30 31 330
1 19 152
4 30 991
18 16 139
30 32 916
14 30 605
3 18 605
27 24 900
28 26 616
36 10 888
22 39 637
