100 480
46 70 69
20 62 324
42 80 817
24 5 696
42 65 681
60 61 742
37 100 411
5 26 167
1 3 533
5 49 308
57 12 830
41 27 636
61 78 420
97 71 495
13 63 299
14 92 320
49 43 24
37 61 747
99 94 66
76 47 136
19 51 925
99 42 880
72 63 855
32 57 352
4 100 623
49 36 97
41 92 613
68 44 983
50 37 449
2 8 941
28 67 563
37 94 884
92 96 521
12 7 764
83 18 835
26 94 741
80 95 112
57 71 543
70 69 190
80 97 414
85 3 102
75 99 116
67 48 592
38 27 340
26 59 379
68 21 170
46 63 665
24 71 936
9 96 337
60 12 557
6 13 273
87 4 226
67 15 868
97 31 773
77 87 599
12 34 24
49 15 817
67 54 245
64 75 374
8 4 832
46 16 326
69 15 750
63 97 14
6 47 663
11 25 269
37 7 789
49 51 313
6 95 71
70 21 832
63 26 772
3 43 92
57 6 122
42 72 714
25 28 979
11 46 613
71 77 456
57 98 986
68 18 892
58 44 933
6 72 193
89 60 521
80 11 385
60 19 812
27 63 767
52 48 796
47 87 470
60 16 84
99 27 3
25 95 60
89 74 544
91 96 629
73 25 34
84 70 141
36 88 485
33 80 702
87 71 99
40 15 810
14 81 340
67 27 568
68 28 934
62 31 295
60 29 868
82 57 985
20 59 660
81 48 983
73 57 751
43 42 175
71 14 777
20 93 525
70 11 208
45 1 622
51 15 903
4 68 790
10 49 142
64 65 569
97 47 553
71 10 755
50 24 791
9 41 870
82 52 22
82 7 282
74 92 630
22 48 716
41 10 685
18 53 180
31 46 73
3 76 900
71 22 989
19 96 194
79 70 995
45 81 681
91 54 47
76 1 897
91 74 619
32 80 928
1 35 611
100 50 507
66 9 522
71 26 336
50 95 346
39 37 30
88 89 399
32 54 452
29 22 882
76 84 566
74 6 713
24 1 669
95 68 241
16 26 425
56 40 339
54 76 669
69 56 810
45 63 647
100 60 536
70 36 85
56 72 329
47 21 906
60 69 662
97 61 46
70 77 279
35 51 306
90 43 867
66 7 873
47 30 398
38 24 945
22 6 97
97 39 980
42 87 266
25 6 386
16 71 998
33 86 210
59 8 161
65 15 435
53 42 531
26 6 144
62 93 647
52 100 856
95 75 393
32 39 139
46 40 593
43 94 923
74 13 554
61 76 113
92 69 569
92 35 946
54 62 512
81 87 347
17 87 836
74 36 158
87 74 62
90 85 805
96 58 375
29 79 608
62 47 695
93 11 763
30 27 657
81 44 952
9 56 920
44 64 731
66 1 107
99 98 279
15 80 110
52 27 966
48 17 156
36 57 948
70 57 522
7 54 939
56 21 972
37 77 155
5 41 182
35 96 654
12 16 903
53 45 663
81 51 106
90 88 32
72 64 491
8 58 542
52 44 411
8 32 636
13 10 565
39 2 982
33 13 795
39 57 911
86 58 492
16 50 155
44 73 191
86 98 739
25 47 724
25 84 160
9 16 309
74 90 111
36 71 727
3 64 345
41 46 396
4 82 538
52 74 813
72 4 611
79 56 435
72 99 146
84 71 237
7 96 572
47 18 33
49 94 571
6 97 727
24 62 378
78 85 170
24 87 937
35 67 44
72 41 479
93 82 201
65 28 324
36 35 418
73 30 854
86 97 470
83 91 423
93 79 219
74 98 799
62 55 757
80 47 706
82 83 622
51 6 356
61 95 693
34 58 138
2 63 283
33 17 70
99 17 129
27 12 160
79 84 82
50 60 674
59 64 329
34 88 433
51 9 82
98 100 57
19 14 994
4 17 722
50 98 181
49 9 123
94 97 710
87 59 737
88 74 483
44 4 282
100 44 158
58 13 169
57 78 646
47 79 928
2 40 867
84 31 406
42 82 802
87 33 657
20 23 931
96 34 421
10 80 23
49 45 885
57 55 996
54 59 537
79 28 397
15 98 345
99 65 759
32 15 856
67 22 520
93 45 294
44 79 821
13 72 46
67 19 649
57 62 79
47 11 50
13 30 797
35 22 201
16 79 384
100 62 533
99 92 363
94 60 528
59 22 727
46 21 877
98 64 666
65 58 901
29 64 114
28 14 699
34 54 321
25 13 966
15 1 182
34 51 401
3 55 506
66 19 478
17 70 900
97 70 481
60 95 686
42 88 193
24 86 2
20 81 915
90 11 376
11 27 825
20 50 335
54 10 432
28 42 355
94 39 278
39 47 513
32 83 506
33 27 851
30 44 612
70 58 506
73 70 152
69 2 456
80 25 429
89 59 69
96 14 839
46 1 784
23 39 653
78 67 140
32 94 114
7 25 144
40 68 891
31 61 604
7 92 757
91 43 745
80 84 836
98 1 61
35 79 544
97 11 188
55 47 413
77 7 490
58 40 951
11 44 273
6 87 619
76 73 951
100 86 373
4 77 380
47 13 269
9 35 711
35 31 687
90 91 939
9 77 185
44 96 454
25 5 872
76 94 441
86 73 288
36 51 965
60 53 507
23 68 790
57 94 533
49 41 387
58 26 277
65 45 270
82 56 45
40 52 276
53 91 998
22 14 663
20 9 558
58 74 64
47 48 404
72 80 370
67 51 468
11 48 894
76 24 515
31 70 498
17 5 461
49 46 579
69 32 862
89 52 563
63 75 801
91 38 593
86 46 708
21 33 138
82 10 461
79 25 15
93 74 918
49 55 179
70 72 977
42 7 616
92 60 221
5 60 796
3 70 466
8 22 140
10 75 902
37 98 927
59 25 51
92 40 267
2 9 782
15 3 39
28 24 495
89 32 922
80 14 878
46 94 712
43 79 646
71 31 477
47 22 784
74 65 285
18 5 978
71 82 59
3 32 948
96 55 586
65 33 843
26 100 287
2 82 441
43 26 16
58 95 259
81 3 109
79 90 873
85 87 923
29 35 812
24 95 546
9 36 109
3 65 576
46 62 467
48 7 726
20 8 143
29 15 996
29 72 266
90 50 374
60 96 275
35 38 301
35 60 988
50 91 737
14 62 600
11 15 458
38 74 205
96 5 452
98 81 275
27 81 842
16 73 559
84 72 892
81 54 9
12 75 236
54 79 332
25 27 728
30 92 488
94 2 160
18 76 649
68 63 752
73 23 683
91 22 680
63 86 877
80 60 203
20 75 240
32 37 76
78 4 65
45 79 127
100 40 418
59 49 16
73 99 484
