40 130
38 8 35
3 28 539
40 6 67
25 5 27
33 22 110
34 11 102
3 5 264
7 6 269
13 35 25
17 24 509
19 35 130
19 37 635
32 38 968
37 8 153
17 14 75
12 33 317
35 17 76
38 7 55
20 4 484
14 36 48
25 26 264
13 10 272
39 25 856
31 35 643
39 17 766
16 6 775
25 20 494
4 7 242
7 26 665
21 32 146
24 15 331
20 9 581
35 37 346
26 37 866
40 30 789
23 34 472
20 14 162
40 8 337
34 37 936
7 13 679
7 18 273
34 35 119
8 25 424
32 37 17
12 30 409
36 9 891
9 7 83
10 36 552
18 31 174
33 32 270
11 10 271
25 31 146
4 16 302
36 39 925
12 17 358
12 36 33
19 23 89
31 38 364
5 31 949
1 32 569
10 4 815
4 38 679
24 23 618
26 15 86
21 10 952
12 8 534
32 13 46
40 29 196
10 12 197
4 2 356
13 15 686
6 20 97
20 17 563
28 8 912
18 28 360
30 6 874
3 29 579
31 27 20
17 26 344
36 2 69
33 40 34
9 4 782
16 26 612
20 21 1000
14 13 479
36 1 751
5 40 949
31 37 413
29 6 919
36 23 554
4 36 948
6 25 373
30 11 186
19 30 702
22 10 233
10 17 811
3 22 587
34 4 181
38 5 970
17 9 942
3 20 176
34 40 823
34 26 167
32 17 938
32 23 117
21 13 754
8 32 239
21 17 11
3 21 696
11 3 506
30 31 70
21 23 263
39 24 951
24 30 382
18 23 453
28 22 581
4 26 419
5 26 588
9 16 651
16 21 70
36 37 944
3 26 118
5 8 250
13 31 292
29 26 105
38 33 111
2 35 330
11 22 908
17 33 603
4 33 297
